timestamp,flowrate_LE
2012-11-05,904
2012-11-06,896
2012-11-07,896
2012-11-08,904
2012-11-09,902
2012-11-10,894
2012-11-11,892
2012-11-12,904
2012-11-13,906
2012-11-14,905
2012-11-15,903
2012-11-16,712
2012-11-17,902
2012-11-18,949
2012-11-19,903
2012-11-20,902
2012-11-21,898
2012-11-22,900
2012-11-23,904
2012-11-24,895
2012-11-25,900
2012-11-26,907
2012-11-27,902
2012-11-28,903
2012-11-29,900
2012-11-30,894
2012-12-01,903
2012-12-02,908
2012-12-03,982
2012-12-04,980
2012-12-05,978
2012-12-06,972
2012-12-07,1000
2012-12-08,1008
2012-12-09,1004
2012-12-10,981
2012-12-11,977
2012-12-12,1000
2012-12-13,1013
2012-12-14,1046
2012-12-15,1031
2012-12-16,964
2012-12-17,896
2012-12-18,893
2012-12-19,889
2012-12-20,893
2012-12-21,906
2012-12-22,899
2012-12-23,889
2012-12-24,875
2012-12-25,887
2012-12-26,901
2012-12-27,907
2012-12-28,904
2012-12-29,907
2012-12-30,905
2012-12-31,903
2013-01-01,898
2013-01-02,904
2013-01-03,906
2013-01-04,906
2013-01-05,906
2013-01-06,898
2013-01-07,887
2013-01-08,898
2013-01-09,902
2013-01-10,972
2013-01-11,980
2013-01-12,963
2013-01-13,969
2013-01-14,969
2013-01-15,988
2013-01-16,989
2013-01-17,972
2013-01-18,976
2013-01-19,1007
2013-01-20,1015
2013-01-21,1029
2013-01-22,1021
2013-01-23,1061
2013-01-24,1104
2013-01-25,1114
2013-01-26,1096
2013-01-27,1076
2013-01-28,881
2013-01-29,872
2013-01-30,761
2013-01-31,765
2013-02-01,895
2013-02-02,908
2013-02-03,904
2013-02-04,898
2013-02-05,890
2013-02-06,904
2013-02-07,679
2013-02-08,902
2013-02-09,897
2013-02-10,889
2013-02-11,902
2013-02-12,905
2013-02-13,905
2013-02-14,896
2013-02-15,949
2013-02-16,946
2013-02-17,940
2013-02-18,903
2013-02-19,898
2013-02-20,677
2013-02-21,884
2013-02-22,898
2013-02-23,898
2013-02-24,900
2013-02-25,895
2013-02-26,888
2013-02-27,888
2013-02-28,901
2013-03-01,892
2013-03-02,903
2013-03-03,905
2013-03-04,902
2013-03-05,899
2013-03-06,901
2013-03-07,902
2013-03-08,908
2013-03-09,896
2013-03-10,897
2013-03-11,901
2013-03-12,738
2013-03-13,889
2013-03-14,887
2013-03-15,886
2013-03-16,887
2013-03-17,888
2013-03-18,886
2013-03-19,804
2013-03-20,865
2013-03-21,854
2013-03-22,856
2013-03-23,861
2013-03-24,869
2013-03-25,866
2013-03-26,850
2013-03-27,859
2013-03-28,857
2013-03-29,856
2013-03-30,856
2013-03-31,857
2013-04-01,856
2013-04-02,803
2013-04-03,803
2013-04-04,784
2013-04-05,794
2013-04-06,816
2013-04-07,821
2013-04-08,844
2013-04-09,822
2013-04-10,828
2013-04-11,831
2013-04-12,841
2013-04-13,828
2013-04-14,831
2013-04-15,825
2013-04-16,835
2013-04-17,830
2013-04-18,839
2013-04-19,807
2013-04-20,737
2013-04-21,725
2013-04-22,722
2013-04-23,722
2013-04-24,738
2013-04-25,744
2013-04-26,656
2013-04-27,649
2013-04-28,639
2013-04-29,651
2013-04-30,669
2013-05-01,660
2013-05-02,656
2013-05-03,515
2013-05-04,457
2013-05-05,545
2013-05-06,720
2013-05-07,686
2013-05-08,660
2013-05-09,614
2013-05-10,347
2013-05-11,382
2013-05-12,263
2013-05-13,328
2013-05-14,238
2013-05-15,239
2013-05-16,232
2013-05-17,315
2013-05-18,537
2013-05-19,306
2013-05-20,294
2013-05-21,411
2013-05-22,409
2013-05-23,445
2013-05-24,382
2013-05-25,248
2013-05-26,250
2013-05-27,334
2013-05-28,364
2013-05-29,379
2013-05-30,306
2013-05-31,331
2013-06-01,289
2013-06-02,291
2013-06-03,719
2013-06-04,761
2013-06-05,492
2013-06-06,524
2013-06-07,323
2013-06-08,358
2013-06-09,338
2013-06-10,548
2013-06-11,490
2013-06-12,503
2013-06-13,288
2013-06-14,425
2013-06-15,331
2013-06-16,231
2013-06-17,235
2013-06-18,243
2013-06-19,280
2013-06-20,532
2013-06-21,296
2013-06-22,257
2013-06-23,258
2013-06-24,398
2013-06-25,398
2013-06-26,348
2013-06-27,550
2013-06-28,342
2013-06-29,266
2013-06-30,265
2013-07-01,383
2013-07-02,302
2013-07-03,283
2013-07-04,286
2013-07-05,273
2013-07-06,270
2013-07-07,279
2013-07-08,326
2013-07-09,282
2013-07-10,270
2013-07-11,518
2013-07-12,359
2013-07-13,259
2013-07-14,336
2013-07-15,320
2013-07-16,453
2013-07-17,482
2013-07-18,487
2013-07-19,268
2013-07-20,288
2013-07-21,275
2013-07-22,328
2013-07-23,300
2013-07-24,270
2013-07-25,239
2013-07-26,314
2013-07-27,273
2013-07-28,281
2013-07-29,413
2013-07-30,278
2013-07-31,281
2013-08-01,407
2013-08-02,277
2013-08-03,287
2013-08-04,290
2013-08-05,436
2013-08-06,417
2013-08-07,438
2013-08-08,425
2013-08-09,476
2013-08-10,484
2013-08-11,497
2013-08-12,397
2013-08-13,321
2013-08-14,317
2013-08-15,311
2013-08-16,419
2013-08-17,419
2013-08-18,410
2013-08-19,417
2013-08-20,531
2013-08-21,529
2013-08-22,518
2013-08-23,533
2013-08-24,390
2013-08-25,255
2013-08-26,486
2013-08-27,505
2013-08-28,517
2013-08-29,429
2013-08-30,271
2013-08-31,244
2013-09-01,243
2013-09-02,231
2013-09-03,489
2013-09-04,543
2013-09-05,464
2013-09-06,378
2013-09-07,322
2013-09-08,305
2013-09-09,496
2013-09-10,506
2013-09-11,484
2013-09-12,462
2013-09-13,447
2013-09-14,289
2013-09-15,157
2013-09-16,289
2013-09-17,357
2013-09-18,449
2013-09-19,497
2013-09-20,467
2013-09-21,254
2013-09-22,253
2013-09-23,264
2013-09-24,311
2013-09-25,657
2013-09-26,626
2013-09-27,510
2013-09-28,352
2013-09-29,366
2013-09-30,499
2013-10-01,410
2013-10-02,266
2013-10-03,266
2013-10-04,244
2013-10-05,198
2013-10-06,180
2013-10-07,222
2013-10-08,200
2013-10-09,184
2013-10-10,221
2013-10-11,230
2013-10-12,304
2013-10-13,244
2013-10-14,231
2013-10-15,203
2013-10-16,191
2013-10-17,176
2013-10-18,196
2013-10-19,227
2013-10-20,231
2013-10-21,229
2013-10-22,183
2013-10-23,187
2013-10-24,194
2013-10-25,199
2013-10-26,190
2013-10-27,183
2013-10-28,199
2013-10-29,216
2013-10-30,206
2013-10-31,199
2013-11-01,210
2013-11-02,210
2013-11-03,205
2013-11-04,214
2013-11-05,200
2013-11-06,222
2013-11-07,235
2013-11-08,197
2013-11-09,209
2013-11-10,200
2013-11-11,376
2013-11-12,384
2013-11-13,471
2013-11-14,371
2013-11-15,359
2013-11-16,313
2013-11-17,313
2013-11-18,445
2013-11-19,363
2013-11-20,541
2013-11-21,293
2013-11-22,320
2013-11-23,228
2013-11-24,297
2013-11-25,369
2013-11-26,298
2013-11-27,241
2013-11-28,176
2013-11-29,247
2013-11-30,224
2013-12-01,206
2013-12-02,246
2013-12-03,205
2013-12-04,204
2013-12-05,191
2013-12-06,318
2013-12-07,214
2013-12-08,239
2013-12-09,356
2013-12-10,240
2013-12-11,319
2013-12-12,347
2013-12-13,383
2013-12-14,374
2013-12-15,290
2013-12-16,473
2013-12-17,529
2013-12-18,576
2013-12-19,660
2013-12-20,702
2013-12-21,621
2013-12-22,386
2013-12-23,718
2013-12-24,745
2013-12-25,776
2013-12-26,805
2013-12-27,785
2013-12-28,788
2013-12-29,776
2013-12-30,756
2013-12-31,744
2014-01-01,746
2014-01-02,760
2014-01-03,755
2014-01-04,760
2014-01-05,762
2014-01-06,760
2014-01-07,729
2014-01-08,747
2014-01-09,537
2014-01-10,663
2014-01-11,729
2014-01-12,725
2014-01-13,808
2014-01-14,830
2014-01-15,761
2014-01-16,746
2014-01-17,764
2014-01-18,756
2014-01-19,757
2014-01-20,741
2014-01-21,554
2014-01-22,559
2014-01-23,666
2014-01-24,701
2014-01-25,703
2014-01-26,718
2014-01-27,721
2014-01-28,723
2014-01-29,710
2014-01-30,706
2014-01-31,656
2014-02-01,687
2014-02-02,695
2014-02-03,691
2014-02-04,702
2014-02-05,705
2014-02-06,687
2014-02-07,692
2014-02-08,701
2014-02-09,699
2014-02-10,666
2014-02-11,633
2014-02-12,636
2014-02-13,650
2014-02-14,663
2014-02-15,694
2014-02-16,696
2014-02-17,696
2014-02-18,702
2014-02-19,711
2014-02-20,708
2014-02-21,715
2014-02-22,710
2014-02-23,709
2014-02-24,719
2014-02-25,738
2014-02-26,739
2014-02-27,741
2014-02-28,810
2014-03-01,868
2014-03-02,872
2014-03-03,873
2014-03-04,797
2014-03-05,871
2014-03-06,912
2014-03-07,933
2014-03-08,935
2014-03-09,937
2014-03-10,930
2014-03-11,932
2014-03-12,911
2014-03-13,914
2014-03-14,901
2014-03-15,909
2014-03-16,908
2014-03-17,903
2014-03-18,894
2014-03-19,889
2014-03-20,906
2014-03-21,889
2014-03-22,913
2014-03-23,888
2014-03-24,911
2014-03-25,907
2014-03-26,896
2014-03-27,916
2014-03-28,901
2014-03-29,885
2014-03-30,893
2014-03-31,892
2014-04-01,879
2014-04-02,891
2014-04-03,892
2014-04-04,896
2014-04-05,888
2014-04-06,884
2014-04-07,888
2014-04-08,900
2014-04-09,941
2014-04-10,906
2014-04-11,907
2014-04-12,892
2014-04-13,894
2014-04-14,909
2014-04-15,897
2014-04-16,891
2014-04-17,889
2014-04-18,902
2014-04-19,894
2014-04-20,897
2014-04-21,895
2014-04-22,890
2014-04-23,905
2014-04-24,904
2014-04-25,902
2014-04-26,903
2014-04-27,895
2014-04-28,903
2014-04-29,902
2014-04-30,884
2014-05-01,893
2014-05-02,881
2014-05-03,874
2014-05-04,884
2014-05-05,881
2014-05-06,854
2014-05-07,842
2014-05-08,783
2014-05-09,752
2014-05-10,846
2014-05-11,852
2014-05-12,871
2014-05-13,897
2014-05-14,888
2014-05-15,888
2014-05-16,889
2014-05-17,892
2014-05-18,889
2014-05-19,880
2014-05-20,671
2014-05-21,662
2014-05-22,747
2014-05-23,626
2014-05-24,774
2014-05-25,680
2014-05-26,658
2014-05-27,696
2014-05-28,649
2014-05-29,579
2014-05-30,724
2014-05-31,541
2014-06-01,527
2014-06-02,431
2014-06-03,389
2014-06-04,714
2014-06-05,720
2014-06-06,651
2014-06-07,609
2014-06-08,591
2014-06-09,630
2014-06-10,709
2014-06-11,539
2014-06-12,723
2014-06-13,671
2014-06-14,411
2014-06-15,334
2014-06-16,654
2014-06-17,690
2014-06-18,746
2014-06-19,460
2014-06-20,482
2014-06-21,575
2014-06-22,547
2014-06-23,541
2014-06-24,550
2014-06-25,486
2014-06-26,537
2014-06-27,634
2014-06-28,526
2014-06-29,505
2014-06-30,635
2014-07-01,606
2014-07-02,596
2014-07-03,530
2014-07-04,672
2014-07-05,594
2014-07-06,586
2014-07-07,559
2014-07-08,627
2014-07-09,649
2014-07-10,658
2014-07-11,560
2014-07-12,546
2014-07-13,382
2014-07-14,542
2014-07-15,519
2014-07-16,489
2014-07-17,594
2014-07-18,597
2014-07-19,376
2014-07-20,271
2014-07-21,392
2014-07-22,465
2014-07-23,540
2014-07-24,535
2014-07-25,506
2014-07-26,503
2014-07-27,340
2014-07-28,482
2014-07-29,349
2014-07-30,325
2014-07-31,421
2014-08-01,405
2014-08-02,269
2014-08-03,322
2014-08-04,524
2014-08-05,537
2014-08-06,383
2014-08-07,394
2014-08-08,512
2014-08-09,469
2014-08-10,487
2014-08-11,483
2014-08-12,409
2014-08-13,431
2014-08-14,491
2014-08-15,628
2014-08-16,369
2014-08-17,489
2014-08-18,531
2014-08-19,514
2014-08-20,565
2014-08-21,607
2014-08-22,642
2014-08-23,628
2014-08-24,634
2014-08-25,651
2014-08-26,641
2014-08-27,636
2014-08-28,636
2014-08-29,646
2014-08-30,620
2014-08-31,627
2014-09-01,674
2014-09-02,663
2014-09-03,634
2014-09-04,632
2014-09-05,619
2014-09-06,639
2014-09-07,638
2014-09-08,530
2014-09-09,560
2014-09-10,549
2014-09-11,539
2014-09-12,549
2014-09-13,490
2014-09-14,373
2014-09-15,538
2014-09-16,397
2014-09-17,375
2014-09-18,416
2014-09-19,552
2014-09-20,369
2014-09-21,491
2014-09-22,517
2014-09-23,540
2014-09-24,524
